granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,date_of_publishing
week,nation,norge,2020,0-9,female,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,0-9,male,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,10-19,female,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,10-19,male,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,20-29,female,2020,8,2020-08,2019/2020,31,2020-02-23,1,2022-09-19
week,nation,norge,2020,20-29,male,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,30-39,female,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,30-39,male,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,40-49,female,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,40-49,male,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,50-59,female,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,50-59,male,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,60-69,female,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,60-69,male,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,70-79,female,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,70-79,male,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,80-89,female,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,80-89,male,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,90+,female,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,90+,male,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-09-19
week,nation,norge,2020,0-9,female,2020,9,2020-09,2019/2020,32,2020-03-01,0,2022-09-19
week,nation,norge,2020,0-9,male,2020,9,2020-09,2019/2020,32,2020-03-01,0,2022-09-19
week,nation,norge,2020,10-19,female,2020,9,2020-09,2019/2020,32,2020-03-01,1,2022-09-19
week,nation,norge,2020,10-19,male,2020,9,2020-09,2019/2020,32,2020-03-01,0,2022-09-19
week,nation,norge,2020,20-29,female,2020,9,2020-09,2019/2020,32,2020-03-01,2,2022-09-19
week,nation,norge,2020,20-29,male,2020,9,2020-09,2019/2020,32,2020-03-01,2,2022-09-19
week,nation,norge,2020,30-39,female,2020,9,2020-09,2019/2020,32,2020-03-01,2,2022-09-19
week,nation,norge,2020,30-39,male,2020,9,2020-09,2019/2020,32,2020-03-01,1,2022-09-19
week,nation,norge,2020,40-49,female,2020,9,2020-09,2019/2020,32,2020-03-01,2,2022-09-19
week,nation,norge,2020,40-49,male,2020,9,2020-09,2019/2020,32,2020-03-01,6,2022-09-19
week,nation,norge,2020,50-59,female,2020,9,2020-09,2019/2020,32,2020-03-01,2,2022-09-19
week,nation,norge,2020,50-59,male,2020,9,2020-09,2019/2020,32,2020-03-01,6,2022-09-19
week,nation,norge,2020,60-69,female,2020,9,2020-09,2019/2020,32,2020-03-01,4,2022-09-19
week,nation,norge,2020,60-69,male,2020,9,2020-09,2019/2020,32,2020-03-01,2,2022-09-19
week,nation,norge,2020,70-79,female,2020,9,2020-09,2019/2020,32,2020-03-01,0,2022-09-19
week,nation,norge,2020,70-79,male,2020,9,2020-09,2019/2020,32,2020-03-01,0,2022-09-19
week,nation,norge,2020,80-89,female,2020,9,2020-09,2019/2020,32,2020-03-01,0,2022-09-19
week,nation,norge,2020,80-89,male,2020,9,2020-09,2019/2020,32,2020-03-01,0,2022-09-19
week,nation,norge,2020,90+,female,2020,9,2020-09,2019/2020,32,2020-03-01,0,2022-09-19
