granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,date_of_publishing,tag_outcome
total,nation,norge,2020,90+,female,1900,1,1900-01,1899/1900,24,1900-01-01,142,2021-09-23,death
total,nation,norge,2020,90+,male,1900,1,1900-01,1899/1900,24,1900-01-01,73,2021-09-23,death
total,nation,norge,2020,0-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,2,2021-09-23,death
total,nation,norge,2020,0-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,4,2021-09-23,death
total,nation,norge,2020,40-49,female,1900,1,1900-01,1899/1900,24,1900-01-01,5,2021-09-23,death
total,nation,norge,2020,40-49,male,1900,1,1900-01,1899/1900,24,1900-01-01,8,2021-09-23,death
total,nation,norge,2020,50-59,female,1900,1,1900-01,1899/1900,24,1900-01-01,7,2021-09-23,death
total,nation,norge,2020,50-59,male,1900,1,1900-01,1899/1900,24,1900-01-01,30,2021-09-23,death
total,nation,norge,2020,60-69,female,1900,1,1900-01,1899/1900,24,1900-01-01,29,2021-09-23,death
total,nation,norge,2020,60-69,male,1900,1,1900-01,1899/1900,24,1900-01-01,73,2021-09-23,death
total,nation,norge,2020,70-79,female,1900,1,1900-01,1899/1900,24,1900-01-01,72,2021-09-23,death
total,nation,norge,2020,70-79,male,1900,1,1900-01,1899/1900,24,1900-01-01,122,2021-09-23,death
total,nation,norge,2020,80-89,female,1900,1,1900-01,1899/1900,24,1900-01-01,133,2021-09-23,death
total,nation,norge,2020,80-89,male,1900,1,1900-01,1899/1900,24,1900-01-01,150,2021-09-23,death
