granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,535091,471999,76.8,67.7,697010,Oslo,2021-11-03
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,359632,321340,74.5,66.6,482645,Rogaland,2021-11-03
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,208314,186985,78.4,70.4,265544,Møre og Romsdal,2021-11-03
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,189940,169882,79,70.7,240345,Nordland,2021-11-03
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,972542,858176,77.7,68.5,1252384,Viken,2021-11-03
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,299136,269685,80.7,72.8,370603,Innlandet,2021-11-03
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,333842,299101,79.1,70.9,421882,Vestfold og Telemark,2021-11-03
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,239504,213371,77.5,69.1,308843,Agder,2021-11-03
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,491913,436446,77,68.3,638821,Vestland,2021-11-03
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,376241,339111,79.9,72,471124,Trøndelag,2021-11-03
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,186915,168380,77.2,69.5,242168,Troms og Finnmark,2021-11-03
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,535081,471992,76.8,67.7,697010,Oslo,2021-11-03
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11504,10363,77.8,70.1,14787,Eigersund,2021-11-03
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,109370,97329,75.9,67.5,144147,Stavanger,2021-11-03
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,27754,25023,74.4,67,37323,Haugesund,2021-11-03
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,58469,52406,72.7,65.1,80450,Sandnes,2021-11-03
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2413,2186,74.1,67.1,3257,Sokndal,2021-11-03
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2342,2142,73.8,67.5,3174,Lund,2021-11-03
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2127,1893,76.2,67.8,2791,Bjerkreim,2021-11-03
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13453,11885,70.4,62.2,19120,Hå,2021-11-03
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14467,12946,72.9,65.2,19848,Klepp,2021-11-03
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14102,12752,73.8,66.7,19106,Time,2021-11-03
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8571,7648,71,63.4,12064,Gjesdal,2021-11-03
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20538,18417,74.8,67.1,27457,Sola,2021-11-03
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8741,7667,77.3,67.8,11315,Randaberg,2021-11-03
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9970,8751,76.3,67,13070,Strand,2021-11-03
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1955,1758,75.8,68.1,2580,Hjelmeland,2021-11-03
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2949,2628,77.4,69,3809,Suldal,2021-11-03
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3605,3204,79,70.2,4561,Sauda,2021-11-03
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,418,389,82.4,76.7,507,Kvitsøy,2021-11-03
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,694,622,80.8,72.4,859,Bokn,2021-11-03
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8307,7144,74.3,63.9,11178,Tysvær,2021-11-03
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,31158,28170,73.6,66.5,42345,Karmøy,2021-11-03
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,163,159,84.9,82.8,192,Utsira,2021-11-03
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6555,5852,75.3,67.2,8705,Vindafjord,2021-11-03
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19328,17714,80.2,73.5,24099,Kristiansund,2021-11-03
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,25817,22956,81,72,31870,Molde,2021-11-03
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,51077,45776,76.6,68.7,66670,Ålesund,2021-11-03
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2522,2322,81.8,75.3,3083,Vanylven,2021-11-03
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1849,1671,75.6,68.3,2445,Sande,2021-11-03
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6680,5979,75.4,67.5,8858,Herøy,2021-11-03
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6513,5783,76,67.4,8575,Ulstein,2021-11-03
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3713,3345,72.2,65.1,5140,Hareid,2021-11-03
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8445,7568,78,69.9,10830,Ørsta,2021-11-03
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3557,3191,79.4,71.2,4482,Stranda,2021-11-03
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6108,5457,80.4,71.8,7596,Sykkylven,2021-11-03
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7177,6437,76.3,68.4,9409,Sula,2021-11-03
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6335,5478,74.5,64.4,8506,Giske,2021-11-03
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5452,4896,78.4,70.4,6958,Vestnes,2021-11-03
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5529,4991,78.7,71,7026,Rauma,2021-11-03
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2811,2484,79.8,70.5,3522,Aukra,2021-11-03
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4665,4148,80.3,71.4,5808,Averøy,2021-11-03
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2080,1905,78.3,71.7,2658,Gjemnes,2021-11-03
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2450,2228,82.1,74.6,2985,Tingvoll,2021-11-03
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5823,5283,83.7,75.9,6956,Sunndal,2021-11-03
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4904,4490,83.5,76.5,5872,Surnadal,2021-11-03
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1706,1590,80.2,74.7,2128,Smøla,2021-11-03
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2764,2551,79.7,73.6,3468,Aure,2021-11-03
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8634,7722,80.1,71.6,10781,Volda,2021-11-03
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2086,1843,83.4,73.7,2502,Fjord,2021-11-03
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10291,9178,77.3,68.9,13317,Hustadvika,2021-11-03
