granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,548403,509048,344346,78.4,72.7,49.2,699827,Oslo,2022-03-22
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372105,344593,246874,76.6,70.9,50.8,485797,Rogaland,2022-03-22
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214477,200939,152145,80.7,75.6,57.2,265848,Møre og Romsdal,2022-03-22
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195785,183283,131991,81.5,76.3,55,240190,Nordland,2022-03-22
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,995657,922245,673705,78.4,72.7,53.1,1269230,Viken,2022-03-22
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306101,287354,216249,82.5,77.4,58.2,371253,Innlandet,2022-03-22
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,341158,318349,235147,80.3,74.9,55.4,424832,Vestfold og Telemark,2022-03-22
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,244953,227260,164901,78.7,73,53,311134,Agder,2022-03-22
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,505632,468570,343983,78.8,73.1,53.6,641292,Vestland,2022-03-22
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,384984,360021,264435,81.2,75.9,55.8,474131,Trøndelag,2022-03-22
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192841,180093,124351,79.8,74.5,51.4,241736,Troms og Finnmark,2022-03-22
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,548393,509041,344341,78.4,72.7,49.2,699827,Oslo,2022-03-22
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11884,11158,9129,80,75.1,61.4,14860,Eigersund,2022-03-22
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113108,104764,73713,78.2,72.4,50.9,144699,Stavanger,2022-03-22
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28665,26535,18542,76.6,70.9,49.5,37444,Haugesund,2022-03-22
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60482,56173,41836,74.4,69.1,51.5,81305,Sandnes,2022-03-22
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2483,2331,1759,75.7,71,53.6,3281,Sokndal,2022-03-22
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2419,2280,1772,76.1,71.7,55.8,3178,Lund,2022-03-22
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2180,2044,1505,78.2,73.3,54,2789,Bjerkreim,2022-03-22
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14032,12896,8922,72.7,66.8,46.2,19296,Hå,2022-03-22
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15034,13811,9061,74.6,68.5,44.9,20163,Klepp,2022-03-22
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14681,13575,8895,75.9,70.1,46,19353,Time,2022-03-22
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8833,8168,6131,72.8,67.3,50.5,12131,Gjesdal,2022-03-22
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21148,19516,13474,76.7,70.8,48.9,27568,Sola,2022-03-22
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9065,8319,5839,79.1,72.6,51,11454,Randaberg,2022-03-22
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10293,9478,7031,77.6,71.4,53,13268,Strand,2022-03-22
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2026,1892,1372,80,74.7,54.1,2534,Hjelmeland,2022-03-22
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3045,2835,2364,80.5,74.9,62.5,3784,Suldal,2022-03-22
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3677,3413,2630,81.3,75.4,58.1,4525,Sauda,2022-03-22
