granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_neg,n_pos,pr100_pos,date_of_publishing
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-01,3736,198,5,2022-07-27
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-02,3361,198,5.6,2022-07-27
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-03,3394,164,4.6,2022-07-27
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-04,1301,88,6.3,2022-07-27
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-05,1048,72,6.4,2022-07-27
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-06,3369,159,4.5,2022-07-27
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-07,2837,140,4.7,2022-07-27
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-08,2162,106,4.7,2022-07-27
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-09,1229,103,7.7,2022-07-27
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-10,1295,68,5,2022-07-27
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-11,1314,110,7.7,2022-07-27
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-12,1171,77,6.2,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-13,1243,77,5.8,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-14,3243,122,3.6,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-15,3330,103,3,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-16,3030,80,2.6,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-17,3023,108,3.4,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-18,1127,49,4.2,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-19,1108,36,3.1,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-20,3691,84,2.2,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-21,3507,78,2.2,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-22,3270,77,2.3,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-23,2902,69,2.3,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-24,3232,53,1.6,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-25,1109,25,2.2,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-26,939,37,3.8,2022-07-27
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-27,4033,71,1.7,2022-07-27
