granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,cum_n_dose_1,cum_n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-02,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-03,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-04,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-05,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-06,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-07,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-08,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-09,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-10,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-11,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-12,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-13,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-14,0,0,0,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-15,1,0,1,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-16,0,0,1,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-17,0,0,1,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-18,0,0,1,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-19,0,0,1,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-20,3,0,4,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-21,1,0,5,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-22,3,0,8,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-23,5,0,13,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-24,4,0,17,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-25,0,0,17,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-26,0,0,17,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-27,7,0,24,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-28,264,0,288,0,0,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-29,122,0,410,0,0.1,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-30,65,0,475,0,0.1,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-31,9,0,484,0,0.1,0,693494,Oslo,2021-08-13
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-01,9,0,493,0,0.1,0,693494,Oslo,2021-08-13
