granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,cum_n_dose_1,cum_n_dose_2,cum_n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-02,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-03,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-04,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-05,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-06,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-07,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-08,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-09,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-10,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-11,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-12,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-13,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-14,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-15,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-16,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-17,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-03-24
