granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,cum_n_dose_1,cum_n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-02,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-03,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-04,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-05,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-06,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-07,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-08,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-09,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-10,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-11,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-12,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-13,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-14,0,0,0,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-15,1,0,1,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-16,0,0,1,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-17,0,0,1,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-18,0,0,1,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-19,0,0,1,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-20,4,0,5,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-21,4,0,9,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-22,4,0,13,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-23,5,0,18,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-24,4,0,22,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-25,0,0,22,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-26,0,0,22,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-27,7,0,29,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-28,267,0,296,0,0,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-29,123,0,419,0,0.1,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-30,67,0,486,0,0.1,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-31,9,0,495,0,0.1,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-01,10,0,505,0,0.1,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-02,5,0,510,0,0.1,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-03,3,0,513,0,0.1,0,693494,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-04,8,0,521,0,0.1,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-05,492,0,1013,0,0.1,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-06,607,0,1620,0,0.2,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-07,979,0,2599,0,0.4,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-08,456,0,3055,0,0.4,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-09,136,0,3191,0,0.5,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-10,104,3,3295,3,0.5,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-11,89,4,3384,7,0.5,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-12,252,1,3636,8,0.5,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-13,502,3,4138,11,0.6,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-14,1255,2,5393,13,0.8,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-15,1663,2,7056,15,1,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-16,660,1,7716,16,1.1,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-17,285,6,8001,22,1.1,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-18,766,232,8767,254,1.3,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-19,802,73,9569,327,1.4,0,697010,Oslo,2021-11-10
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-20,1007,101,10576,428,1.5,0.1,697010,Oslo,2021-11-10
