granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,cum_n_dose_1,cum_n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-27,5,0,5,0,0.00072098677133472,0,693494,Oslo
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-28,264,0,269,0,0.0387890882978079,0,693494,Oslo
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-29,118,0,387,0,0.0558043761013073,0,693494,Oslo
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-30,58,0,445,0,0.06416782264879,0,693494,Oslo
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-31,5,0,450,0,0.0648888094201248,0,693494,Oslo
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-01,6,0,456,0,0.0657539935457264,0,693494,Oslo
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-02,0,0,456,0,0.0657539935457264,0,693494,Oslo
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-03,0,0,456,0,0.0657539935457264,0,693494,Oslo
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-04,0,0,456,0,0.0657539935457264,0,693494,Oslo
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-05,481,0,937,0,0.135112920948126,0,693494,Oslo
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-06,600,0,1537,0,0.221631333508293,0,693494,Oslo
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-07,964,0,2501,0,0.360637583021627,0,693494,Oslo
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-08,453,0,2954,0,0.425958984504552,0,693494,Oslo
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-09,125,0,3079,0,0.44398365378792,0,693494,Oslo
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-10,100,0,3179,0,0.458403389214615,0,693494,Oslo
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-11,76,0,3255,0,0.469362388138903,0,693494,Oslo
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-12,184,0,3439,0,0.49589470132402,0,693494,Oslo
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-13,431,0,3870,0,0.558043761013073,0,693494,Oslo
