granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_neg,n_pos,pr100_pos,date_of_publishing
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-01,3739,198,5,2021-06-23
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-02,3363,198,5.6,2021-06-23
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-03,3392,164,4.6,2021-06-23
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-04,1298,88,6.3,2021-06-23
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-05,1046,72,6.4,2021-06-23
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-06,3373,159,4.5,2021-06-23
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-07,2832,140,4.7,2021-06-23
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-08,2170,106,4.7,2021-06-23
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-09,1227,103,7.7,2021-06-23
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-10,1287,68,5,2021-06-23
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-11,1313,109,7.7,2021-06-23
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-12,1169,76,6.1,2021-06-23
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-13,1241,77,5.8,2021-06-23
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-14,3247,122,3.6,2021-06-23
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-15,3325,103,3,2021-06-23
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-16,3030,80,2.6,2021-06-23
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-17,3024,108,3.4,2021-06-23
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-18,1127,49,4.2,2021-06-23
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-19,1107,36,3.1,2021-06-23
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-20,3693,84,2.2,2021-06-23
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-21,3504,78,2.2,2021-06-23
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-22,3269,77,2.3,2021-06-23
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-23,2907,69,2.3,2021-06-23
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-24,3228,53,1.6,2021-06-23
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-25,1107,25,2.2,2021-06-23
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-26,936,37,3.8,2021-06-23
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-27,4033,71,1.7,2021-06-23
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-28,4063,50,1.2,2021-06-23
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-29,3916,39,1,2021-06-23
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-30,4400,39,0.9,2021-06-23
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-01,1469,43,2.8,2021-06-23
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-02,1532,23,1.5,2021-06-23
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-03,1216,44,3.5,2021-06-23
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-04,4684,45,1,2021-06-23
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-05,4273,43,1,2021-06-23
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-06,4245,39,0.9,2021-06-23
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-07,3724,29,0.8,2021-06-23
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-08,3764,42,1.1,2021-06-23
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-09,1294,11,0.8,2021-06-23
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-10,992,12,1.2,2021-06-23
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-11,4377,25,0.6,2021-06-23
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-12,4779,19,0.4,2021-06-23
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-13,4453,19,0.4,2021-06-23
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-14,4184,23,0.5,2021-06-23
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-15,4157,23,0.6,2021-06-23
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-16,1299,13,1,2021-06-23
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-17,663,4,0.6,2021-06-23
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-18,4396,17,0.4,2021-06-23
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-19,4643,20,0.4,2021-06-23
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-20,3937,19,0.5,2021-06-23
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-21,1136,14,1.2,2021-06-23
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-22,3323,26,0.8,2021-06-23
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-23,1036,6,0.6,2021-06-23
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-24,896,6,0.7,2021-06-23
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-25,4054,18,0.4,2021-06-23
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-26,3446,12,0.3,2021-06-23
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-27,3270,18,0.5,2021-06-23
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-28,2771,16,0.6,2021-06-23
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-29,2579,16,0.6,2021-06-23
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-30,812,0,0,2021-06-23
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-31,630,6,0.9,2021-06-23
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-01,739,7,0.9,2021-06-23
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-02,3818,31,0.8,2021-06-23
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-03,3128,12,0.4,2021-06-23
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-04,2914,17,0.6,2021-06-23
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-05,2905,30,1,2021-06-23
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-06,944,8,0.8,2021-06-23
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-07,939,9,0.9,2021-06-23
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-08,5737,18,0.3,2021-06-23
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-09,5647,13,0.2,2021-06-23
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-10,4548,14,0.3,2021-06-23
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-11,4859,11,0.2,2021-06-23
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-12,4622,13,0.3,2021-06-23
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-13,1242,7,0.6,2021-06-23
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-14,1129,6,0.5,2021-06-23
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-15,5836,18,0.3,2021-06-23
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-16,5422,36,0.7,2021-06-23
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-17,4970,15,0.3,2021-06-23
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-18,4552,13,0.3,2021-06-23
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-19,3795,18,0.5,2021-06-23
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-20,1059,6,0.6,2021-06-23
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-21,1030,4,0.4,2021-06-23
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-22,5011,28,0.6,2021-06-23
