granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,tag_outcome,n
total,nation,norge,2020,0-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,2
total,nation,norge,2020,0-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,1
total,nation,norge,2020,0-39,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,3
total,nation,norge,2020,40-49,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,2
total,nation,norge,2020,40-49,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,4
total,nation,norge,2020,40-49,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,6
total,nation,norge,2020,50-59,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,2
total,nation,norge,2020,50-59,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,14
total,nation,norge,2020,50-59,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,16
total,nation,norge,2020,60-69,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,12
total,nation,norge,2020,60-69,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,34
total,nation,norge,2020,60-69,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,46
total,nation,norge,2020,70-79,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,29
total,nation,norge,2020,70-79,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,65
total,nation,norge,2020,70-79,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,94
total,nation,norge,2020,80-89,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,86
total,nation,norge,2020,80-89,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,87
total,nation,norge,2020,80-89,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,173
total,nation,norge,2020,90+,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,90
total,nation,norge,2020,90+,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,38
total,nation,norge,2020,90+,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,128
total,nation,norge,2020,total,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,223
total,nation,norge,2020,total,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,243
total,nation,norge,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,466
